parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
Nc1ccc(-c2c(C(=O)c3ccc(OCCN4CC(C(=O)O)=CCC4=O)cc3)c3ccc(O)cc3[nH]c2=O)cc1,CHEMBL5181808,7.43,7.43,0.0,7.43,7.43,1,1,0.0,False,539.5440000000002,3.336000000000002,4,7,1,False
Nc1ccc(-c2c(C(=O)c3ccc(OCCN4CC(C(=O)O)=CCC4=O)cc3)c3ccc(O)cc3oc2=O)cc1,CHEMBL5187730,7.41,7.41,0.0,7.41,7.41,1,1,0.0,False,540.5280000000002,3.600900000000002,3,8,1,False
Nc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,CHEMBL226329,7.71,7.71,0.0,7.71,7.71,1,1,0.0,False,460.5990000000004,6.513100000000005,2,6,1,False
O/N=C1\c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,CHEMBL33625,5.98,5.98,0.0,5.98,5.98,1,1,0.0,False,474.5570000000003,5.058300000000005,3,7,1,False
O=C(/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1)NCCCCCNC(=O)/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,CHEMBL4790191,8.63,8.63,0.0,8.63,8.63,1,1,0.0,False,734.9809999999999,10.759099999999993,4,4,2,False
O=C(/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1)NCCCCNC(=O)/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,CHEMBL4761289,9.38,9.38,0.0,9.38,9.38,1,1,0.0,False,720.9539999999998,10.368999999999994,4,4,2,False
O=C(/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1)NCCCNC(=O)/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,CHEMBL4790840,8.78,8.78,0.0,8.78,8.78,1,1,0.0,False,706.9269999999999,9.978899999999996,4,4,2,False
O=C(/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1)NCCNC(=O)/C=C/c1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,CHEMBL4784145,8.19,8.19,0.0,8.19,8.19,1,1,0.0,False,692.8999999999999,9.588799999999997,4,4,2,False
O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)N1CCCC1,CHEMBL4228923,7.17,7.17,0.0,7.17,7.17,1,1,0.0,False,455.5290000000003,5.908500000000005,1,3,1,False
O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)N1CCN(Cc2ccccc2)CC1,CHEMBL4224834,7.13,7.13,0.0,7.13,7.13,1,1,0.0,False,560.6690000000002,6.630500000000008,1,4,2,False
