parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
CCCCCCCCCC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,CHEMBL3775410,7.5,7.5,0.0,7.5,7.5,1,1,0.0,False,527.7490000000004,8.652100000000006,0,4,2,False
CCCCCCCCCC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN3CCCC3)cc2)cc1,CHEMBL3775978,7.32,7.32,0.0,7.32,7.32,1,1,0.0,False,553.7870000000005,9.186300000000003,0,4,2,False
CCCCCCCCCC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN3CCCCC3)cc2)cc1,CHEMBL3774642,7.09,7.09,0.0,7.09,7.09,1,1,0.0,False,567.8140000000004,9.576400000000001,0,4,2,False
CCCCCCCCCCCCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3098275,4.0,4.0,0.0,4.0,4.0,1,1,0.0,False,611.9550000000003,11.991199999999985,2,3,2,False
CCCCCCCCCCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3805385,8.74,8.74,0.0,8.74,8.74,1,1,0.0,False,657.9610000000001,11.440399999999986,3,6,2,False
CCCCCCCCCCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3586193,8.32,8.32,0.0,8.32,8.32,1,1,0.0,False,583.9010000000003,11.21099999999999,2,3,2,False
CCCCCCCCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3805025,7.96,7.96,0.0,7.96,7.96,1,1,0.0,False,629.9070000000003,10.66019999999999,3,6,2,False
CCCCCCCCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3586192,7.96,7.96,0.0,7.96,7.96,1,1,0.0,False,555.8470000000003,10.430799999999993,2,3,2,False
CCCCCCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3804907,7.55,7.55,0.0,7.55,7.55,1,1,0.0,False,601.8530000000003,9.879999999999995,3,6,2,False
CCCCCCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3098274,7.85,7.85,0.0,7.85,7.85,1,1,0.0,False,527.7930000000002,9.650599999999997,2,3,2,False
CCCCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3805318,8.23,8.23,0.0,8.23,8.23,1,1,0.0,False,573.7990000000002,9.099799999999998,3,6,2,False
CCCCCCCCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL219134,5.99,5.99,0.0,5.99,5.99,1,1,0.0,False,426.55300000000017,6.583200000000008,3,5,1,False
CCCCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3586191,8.44,8.44,0.0,8.44,8.44,1,1,0.0,False,499.7390000000002,8.870400000000002,2,3,1,False
CCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3806167,7.4,7.4,0.0,7.4,7.4,1,1,0.0,False,545.7450000000002,8.319600000000007,3,6,2,False
CCCCCCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL219387,6.36,6.36,0.0,6.36,6.36,1,1,0.0,False,398.49900000000014,5.803000000000007,3,5,1,False
CCCCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3586190,7.28,7.28,0.0,7.28,7.28,1,1,0.0,False,471.6850000000002,8.090200000000008,2,3,1,False
CCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3805170,7.31,7.31,0.0,7.31,7.31,1,1,0.0,False,517.6910000000003,7.5394000000000085,3,6,2,False
CCCCCCCCOC(=O)c1cc(C)c(O)c(C)c1,CHEMBL4165518,4.79,4.79,0.0,4.79,4.79,1,1,0.0,False,278.392,4.526340000000005,1,3,0,True
CCCCCCCCOC(=O)c1cc(I)c(O)c(I)c1,CHEMBL4169994,4.88,4.88,0.0,4.88,4.88,1,1,0.0,False,502.13000000000005,5.118700000000005,1,3,2,False
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,CHEMBL277346,5.06,5.06,0.0,5.06,5.06,1,1,0.0,False,282.336,3.320700000000003,3,5,0,True
CCCCCCCCOC(=O)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CHEMBL4168938,4.22,4.22,0.0,4.22,4.22,1,1,0.0,False,340.33200000000005,3.725900000000003,1,7,0,True
CCCCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL216596,6.41,6.41,0.0,6.41,6.41,1,1,0.0,False,370.4450000000001,5.022800000000006,3,5,1,False
CCCCCCNCCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL3098273,6.82,6.82,0.0,6.82,6.82,1,1,0.0,False,443.6310000000001,7.3100000000000085,2,3,1,False
CCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,CHEMBL3805921,7.21,7.21,0.0,7.21,7.21,1,1,0.0,False,489.63700000000017,6.759200000000007,3,6,1,False
CCCCCCc1cc2cc(-c3nnc(-c4ccccc4)o3)c(=O)oc2cc1O,CHEMBL1531512,4.46,4.46,0.0,4.46,4.46,1,1,0.0,False,390.43900000000014,5.338400000000005,1,6,1,False
CCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL385279,6.42,6.42,0.0,6.42,6.42,1,1,0.0,False,342.3910000000001,4.242600000000003,3,5,0,True
CCCCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,CHEMBL33890,7.15,7.15,0.0,7.15,7.15,1,1,0.0,False,529.6770000000005,6.795400000000009,2,6,2,False
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1C(=O)c2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,CHEMBL1628199,7.48,7.48,0.0,7.48,7.48,1,1,0.0,False,571.868,7.730500000000011,2,5,2,False
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,CHEMBL1627354,8.05,8.05,0.0,8.05,8.05,1,1,0.0,False,557.885,8.090300000000012,2,4,2,False
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c2ccc(O)cc2[C@H]1O,CHEMBL1627351,7.5,7.5,0.0,7.5,7.5,1,1,0.0,False,573.8840000000002,7.581200000000012,3,5,2,False
CCCCN(C)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,CHEMBL3657148,7.55,7.55,0.0,7.55,7.55,2,2,0.0,False,458.60200000000015,6.186920000000009,2,4,1,False
CCCCN(CCCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,CHEMBL3657146,6.7,6.7,0.0,6.7,6.7,2,2,0.0,False,500.68300000000016,7.35722000000001,2,4,2,False
CCCCOC(=O)c1c(F)c(F)c(O)c(F)c1F,CHEMBL4163053,4.53,4.53,0.0,4.53,4.53,1,1,0.0,False,266.18999999999994,2.9055000000000013,1,3,0,True
CCCCOC(=O)c1cc(Br)c(O)c(Br)c1,CHEMBL4159672,4.41,4.41,0.0,4.41,4.41,1,1,0.0,False,352.022,3.874100000000002,1,3,0,True
