parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C(Nc1ccc2c(c1)nc1n2CCSC1)c1ccco1,CHEMBL1313979,4.84,4.84,0.0,4.84,4.84,1,1,0.0,False,299.35499999999996,3.128400000000002,1,4,0,True
O=C(Nc1ccc2cc[nH]c2c1)c1ccc(Br)cc1,CHEMBL4468912,8.33,8.33,0.0,8.33,8.33,1,1,0.0,False,315.16999999999996,4.182700000000001,2,1,0,True
O=C(Nc1ccc2cc[nH]c2c1)c1ccc(C(F)(F)F)cc1,CHEMBL4555331,8.09,8.09,0.0,8.09,8.09,1,1,0.0,False,304.27099999999996,4.439000000000002,2,1,0,True
O=C(Nc1ccc2cc[nH]c2c1)c1ccc(F)cc1,CHEMBL4570601,7.16,7.16,0.0,7.16,7.16,1,1,0.0,False,254.26399999999998,3.5593000000000012,2,1,0,True
O=C(Nc1ccc2cc[nH]c2c1)c1cccc(C(F)(F)F)c1,CHEMBL4590512,8.75,8.75,0.0,8.75,8.75,1,1,0.0,False,304.27099999999996,4.439000000000001,2,1,0,True
O=C(Nc1ccc2nn(-c3ccccc3)nc2c1)c1ccc2c(c1)OCO2,CHEMBL1507012,5.2,5.2,0.0,5.2,5.2,1,1,0.0,False,358.35700000000014,3.401500000000002,1,5,0,True
O=C(Nc1cccc(-c2cn3cccnc3n2)c1)c1ccc2c(c1)OCO2,CHEMBL1577029,5.18,5.18,0.0,5.18,5.18,1,1,0.0,False,358.35700000000014,3.3773000000000017,1,5,0,True
O=C(Nc1ccccc1[N+](=O)[O-])C1=C(O)CCn2c1nc1ccccc12,CHEMBL1386091,4.73,4.73,0.0,4.73,4.73,1,1,0.0,False,350.334,3.256000000000001,2,5,0,True
O=C(Nc1nc(-c2nc3ccccc3s2)cs1)C1COc2ccccc2O1,CHEMBL1304227,4.6,4.6,0.0,4.6,4.6,1,1,0.0,False,395.4650000000002,4.198300000000002,1,7,0,True
O=C(O)/C=C/c1ccc(C2c3ccc(O)cc3CCN2Cc2ccccc2)cc1,CHEMBL3775342,7.44,7.44,0.0,7.44,7.44,1,1,0.0,False,385.4630000000001,4.637700000000003,2,3,0,True
